INFO 2024-04-24 20:16:52,611 autoreload 13988 10384 Watching for file changes with StatReloader
INFO 2024-04-24 20:17:03,207 views 13988 8812 Страница "Главная страница" была посещена
INFO 2024-04-24 20:17:03,214 basehttp 13988 8812 "GET / HTTP/1.1" 200 1652
INFO 2024-04-24 20:17:05,749 views 13988 8812 Страница "О себе" была посещена
INFO 2024-04-24 20:17:05,751 basehttp 13988 8812 "GET /about/ HTTP/1.1" 200 1597
INFO 2024-04-24 20:17:07,630 views 13988 8812 Страница "Главная страница" была посещена
INFO 2024-04-24 20:17:07,631 basehttp 13988 8812 "GET / HTTP/1.1" 200 1652
INFO 2024-04-24 20:17:09,254 views 13988 8812 Страница "Главная страница" была посещена
INFO 2024-04-24 20:17:09,255 basehttp 13988 8812 "GET / HTTP/1.1" 200 1652
INFO 2024-04-24 20:17:10,591 views 13988 8812 Страница "О себе" была посещена
INFO 2024-04-24 20:17:10,592 basehttp 13988 8812 "GET /about/ HTTP/1.1" 200 1597
INFO 2024-04-24 20:17:11,759 views 13988 8812 Страница "О себе" была посещена
INFO 2024-04-24 20:17:11,760 basehttp 13988 8812 "GET /about/ HTTP/1.1" 200 1597
